Feldstaerke,Mode,mean,std
1.5 Tesla,PD-TSE Dixon,0.7630716666666666,0.6076836607023163
1.5 Tesla,SWI,6.140251666666666,4.564569063296997
1.5 Tesla,T1-FLD2,2.28609,1.2401610018735074
1.5 Tesla,T1-TSE,1.5954366666666666,1.8139582810752513
1.5 Tesla,T1-VIBE,1.578035,1.8371272712158682
1.5 Tesla,T2-TIRM,1.83044,3.0447983335700766
1.5 Tesla,T2-TSE,1.1371366666666667,1.020780831417853
3.0 Tesla,PD-TSE Dixon,1.24044,1.2205513975350206
3.0 Tesla,SWI,6.473654999999999,3.4437129068339076
3.0 Tesla,T1-FLD2,1.2672983333333332,1.1101033159139226
3.0 Tesla,T1-TSE,1.8319883333333333,1.0928036341642504
3.0 Tesla,T1-VIBE,2.044208333333333,0.995194962915791
3.0 Tesla,T2-TIRM,1.3801766666666666,1.248588676036238
3.0 Tesla,T2-TSE,1.2981666666666667,1.194653447037474
